TeamLeagueMember,TeamName,Player,Round To Give Up,KeptRound
AJ,Gronky Punch,Marshawn Lynch,1,-
AJ,Gronky Punch,Brandin Cooks,2,-
AJ,Gronky Punch,Rob Gronkowski,3,-1
AJ,Gronky Punch,Brandon Marshall,5,-
AJ,Gronky Punch,Markus Wheaton,8,-
AJ,Gronky Punch,Allen Hurns,10,-
AJ,Gronky Punch,Christine Michael,10,-
AJ,Gronky Punch,DeVante Parker,10,-
AJ,Gronky Punch,Jay Cutler,10,-
AJ,Gronky Punch,Jonathan Grimes,10,-
AJ,Gronky Punch,Marcus Mariota,10,-
AJ,Gronky Punch,Panthers D/ST D/ST,10,-
AJ,Gronky Punch,Rueben Randle,10,-
AJ,Gronky Punch,Adam Vinatieri,10,-
AJ,Gronky Punch,Danny Woodhead,10,-
AJ,Gronky Punch,Malcom Floyd,10,-
Burns,Starvin' For Success,Lamar Miller,2,-
Burns,Starvin' For Success,Latavius Murray,3,-
Burns,Starvin' For Success,Dorial Green-Beckham,8,-
Burns,Starvin' For Success,Sammy Watkins,9,-1
Burns,Starvin' For Success,Danny Amendola,10,-
Burns,Starvin' For Success,Doug Baldwin,10,-
Burns,Starvin' For Success,Eagles D/ST D/ST,10,-
Burns,Starvin' For Success,James White,10,-
Burns,Starvin' For Success,Matthew Stafford,10,-
Burns,Starvin' For Success,Scott Chandler*,10,-
Burns,Starvin' For Success,Spencer Ware,10,-
Burns,Starvin' For Success,Stephen Gostkowski,10,-
Burns,Starvin' For Success,Stevie Johnson,10,-
Burns,Starvin' For Success,Texans D/ST D/ST,10,-
Burns,Starvin' For Success,Tyrod Taylor,10,-
Burns,Starvin' For Success,Julius Thomas,10,-
Ellery,Butters Creamy Goo,Eddie Lacy,1,-
Ellery,Butters Creamy Goo,DeAndre Hopkins,2,-
Ellery,Butters Creamy Goo,Amari Cooper,4,-
Ellery,Butters Creamy Goo,T.Y. Hilton,5,-1
Ellery,Butters Creamy Goo,Ryan Mathews,6,-
Ellery,Butters Creamy Goo,Martavis Bryant,7,-
Ellery,Butters Creamy Goo,Brent Celek,10,-
Ellery,Butters Creamy Goo,Derek Carr,10,-
Ellery,Butters Creamy Goo,Falcons D/ST D/ST,10,-
Ellery,Butters Creamy Goo,Jets D/ST D/ST,10,-
Ellery,Butters Creamy Goo,Justin Tucker,10,-
Ellery,Butters Creamy Goo,Theo Riddick,10,-
Ellery,Butters Creamy Goo,Vikings D/ST D/ST,10,-
Ellery,Butters Creamy Goo,Zach Miller,10,-
Ellery,Butters Creamy Goo,Duke Johnson Jr.,10,-
Ellery,Butters Creamy Goo,Eli Manning,10,-
Flem,Piecing It Together,Jordan Matthews,3,-
Flem,Piecing It Together,Jarvis Landry,5,-
Flem,Piecing It Together,Rashad Jennings,6,-
Flem,Piecing It Together,John Brown,6,-
Flem,Piecing It Together,Delanie Walker,8,-
Flem,Piecing It Together,DeAngelo Williams,9,-
Flem,Piecing It Together,Chris Boswell,10,-
Flem,Piecing It Together,Gary Barnidge,10,-
Flem,Piecing It Together,Javorius Allen,10,-
Flem,Piecing It Together,Kirk Cousins,10,-
Flem,Piecing It Together,Steelers D/ST D/ST,10,-
Flem,Piecing It Together,Tim Hightower,10,-
Flem,Piecing It Together,Tyler Lockett,10,-
Flem,Piecing It Together,Philip Rivers,10,-
Flem,Piecing It Together,Brandon McManus,10,-
Flem,Piecing It Together,James Starks,10,-
Hutch,@ cutbychip25,LeSean McCoy,2,-
Hutch,@ cutbychip25,Carlos Hyde,3,-
Hutch,@ cutbychip25,Frank Gore,3,-
Hutch,@ cutbychip25,Vincent Jackson,4,-
Hutch,@ cutbychip25,Peyton Manning,5,-
Hutch,@ cutbychip25,Matt Ryan,7,-
Hutch,@ cutbychip25,Zach Ertz,7,-
Hutch,@ cutbychip25,Jason Witten,7,-
Hutch,@ cutbychip25,Larry Fitzgerald,8,-
Hutch,@ cutbychip25,Anquan Boldin,9,-
Hutch,@ cutbychip25,C.J. Anderson,10,-1
Hutch,@ cutbychip25,Caleb Sturgis,10,-
Hutch,@ cutbychip25,Karlos Williams,10,-
Hutch,@ cutbychip25,Seahawks D/ST D/ST,10,-
Hutch,@ cutbychip25,Titans D/ST D/ST,10,-
Hutch,@ cutbychip25,Steven Hauschka,10,-
Joe,War Bortle,Jeremy Hill,1,-
Joe,War Bortle,Adrian Peterson,1,-
Joe,War Bortle,Alfred Morris,3,-
Joe,War Bortle,DeSean Jackson,4,-
Joe,War Bortle,Allen Robinson,6,-
Joe,War Bortle,Giovani Bernard,8,-
Joe,War Bortle,Bengals D/ST D/ST,10,-
Joe,War Bortle,Bills D/ST D/ST,10,-
Joe,War Bortle,Blake Bortles,10,-
Joe,War Bortle,Cairo Santos,10,-
Joe,War Bortle,James Jones,10,-
Joe,War Bortle,Ryan Fitzpatrick,10,-
Joe,War Bortle,Terrance Williams,10,-
Joe,War Bortle,Will Tye,10,-
Joe,War Bortle,Jerick McKinnon,10,-
Keith,Screenshots Fired,DeMarco Murray,1,-
Keith,Screenshots Fired,Davante Adams,4,-
Keith,Screenshots Fired,Emmanuel Sanders,5,-1
Keith,Screenshots Fired,Travis Kelce,5,-
Keith,Screenshots Fired,Sam Bradford,6,-
Keith,Screenshots Fired,Alfred Blue,7,-
Keith,Screenshots Fired,Darren Sproles,8,-
Keith,Screenshots Fired,Chandler Catanzaro,10,-
Keith,Screenshots Fired,Chris Johnson,10,-
Keith,Screenshots Fired,Jacob Tamme,10,-
Keith,Screenshots Fired,Marvin Jones,10,-
Keith,Screenshots Fired,Matt Hasselbeck,10,-
Keith,Screenshots Fired,Ted Ginn Jr.,10,-
Keith,Screenshots Fired,Marques Colston,10,-
Kyle,Wet as the Knile,Julio Jones,1,-
Kyle,Wet as the Knile,LeGarrette Blount,3,-
Kyle,Wet as the Knile,Arian Foster,4,-
Kyle,Wet as the Knile,Russell Wilson,4,-
Kyle,Wet as the Knile,Tevin Coleman,7,-
Kyle,Wet as the Knile,Michael Crabtree,9,-
Kyle,Wet as the Knile,Darren McFadden,9,-
Kyle,Wet as the Knile,Benjamin Watson,10,-
Kyle,Wet as the Knile,Broncos D/ST D/ST,10,-
Kyle,Wet as the Knile,Bryce Brown,10,-
Kyle,Wet as the Knile,Carson Palmer,10,-
Kyle,Wet as the Knile,David Johnson,10,-
Kyle,Wet as the Knile,Dion Lewis,10,-
Kyle,Wet as the Knile,Graham Gano,10,-
Kyle,Wet as the Knile,Stefon Diggs,10,-
Kyle,Wet as the Knile,Travis Benjamin,10,-
McGov,When I Eat Cheese Eifert,Aaron Rodgers,1,-
McGov,When I Eat Cheese Eifert,Alshon Jeffery,2,-
McGov,When I Eat Cheese Eifert,Calvin Johnson,2,-
McGov,When I Eat Cheese Eifert,Chris Ivory,3,-
McGov,When I Eat Cheese Eifert,T.J. Yeldon,5,-
McGov,When I Eat Cheese Eifert,Brandon LaFell,7,-
McGov,When I Eat Cheese Eifert,Bilal Powell,10,-
McGov,When I Eat Cheese Eifert,Cameron Artis-Payne,10,-
McGov,When I Eat Cheese Eifert,Chiefs D/ST D/ST,10,-
McGov,When I Eat Cheese Eifert,Dan Bailey,10,-
McGov,When I Eat Cheese Eifert,Denard Robinson,10,-
McGov,When I Eat Cheese Eifert,Jordan Reed,10,-
McGov,When I Eat Cheese Eifert,Kamar Aiken,10,-
McGov,When I Eat Cheese Eifert,Willie Snead,10,-
McGov,When I Eat Cheese Eifert,Tyler Eifert,10,-
McGov,When I Eat Cheese Eifert,Eric Decker,10,-
Pete,Bennett like Beckham,Matt Forte,1,-
Pete,Bennett like Beckham,Demaryius Thomas,2,-
Pete,Bennett like Beckham,Ben Roethlisberger,4,-
Pete,Bennett like Beckham,Ameer Abdullah,6,-
Pete,Bennett like Beckham,Devonta Freeman,8,-
Pete,Bennett like Beckham,Antonio Gates,9,-
Pete,Bennett like Beckham,Odell Beckham Jr.,10,-1
Pete,Bennett like Beckham,Andy Dalton,10,-
Pete,Bennett like Beckham,Donte Moncrief,10,-
Pete,Bennett like Beckham,Nate Washington,10,-
Pete,Bennett like Beckham,Packers D/ST D/ST,10,-
Pete,Bennett like Beckham,Shane Vereen,10,-
Pete,Bennett like Beckham,Charles Sims,10,-
Pete,Bennett like Beckham,Matt Jones,10,-
Pete,Bennett like Beckham,Mason Crosby,10,-
Shane,McElhattons Revenge 2.0,A.J. Green,2,-
Shane,McElhattons Revenge 2.0,Randall Cobb,2,-
Shane,McElhattons Revenge 2.0,Jonathan Stewart,3,-
Shane,McElhattons Revenge 2.0,Golden Tate,4,-
Shane,McElhattons Revenge 2.0,Doug Martin,5,-
Shane,McElhattons Revenge 2.0,Tom Brady,6,-
Shane,McElhattons Revenge 2.0,Mike Evans,8,-1
Shane,McElhattons Revenge 2.0,Antonio Andrews,10,-
Shane,McElhattons Revenge 2.0,Austin Seferian-Jenkins,10,-
Shane,McElhattons Revenge 2.0,Cardinals D/ST D/ST,10,-
Shane,McElhattons Revenge 2.0,Charles Clay,10,-
Shane,McElhattons Revenge 2.0,Chris Polk,10,-
Shane,McElhattons Revenge 2.0,Jaguars D/ST D/ST,10,-
Shane,McElhattons Revenge 2.0,Jay Ajayi,10,-
Shane,McElhattons Revenge 2.0,Matt Prater,10,-
Shane,McElhattons Revenge 2.0,Ronnie Hillman,10,-
Whit,Ryan 1000,Dez Bryant,1,-
Whit,Ryan 1000,Antonio Brown,1,-
Whit,Ryan 1000,Todd Gurley,4,-
Whit,Ryan 1000,Jeremy Maclin,4,-
Whit,Ryan 1000,Greg Olsen,5,-
Whit,Ryan 1000,Drew Brees,6,-
Whit,Ryan 1000,Michael Floyd,8,-
Whit,Ryan 1000,Mark Ingram,10,-1
Whit,Ryan 1000,Bears D/ST D/ST,10,-
Whit,Ryan 1000,Cam Newton,10,-
Whit,Ryan 1000,Charcandrick West,10,-
Whit,Ryan 1000,Jeremy Langford,10,-
Whit,Ryan 1000,Kai Forbath,10,-
Whit,Ryan 1000,Richard Rodgers,10,-
Whit,Ryan 1000,Shaun Draughn,10,-
Whit,Ryan 1000,Tavon Austin,10,-
